"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.292","3/24/2016 ","bighorn","S426","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"159.295",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.295","","deer","RVD839","RV","VHF","ATS","NR","RV"
"159.299","","bighorn","","office","VHF","ATS","OW","office"
"159.300","","deer","GDL081","GD","VHF/GPS","Various","AW","GD"
"159.300","3/26/2015 ","bighorn","S370","Northern","","Televilt Tellus Iridium","AWQ","Cathedral"
"159.305",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.305","","deer","GDL001","GD","VHF/GPS","Various","AW","GD"
"159.310","","deer","GDL058","GD","VHF/GPS","Various","AW","GD"
"159.310","","deer","RVD843","RV","VHF/GPS","Various","AW","RV"
"159.315",,"bighorn",,"Langley","VHF","Vectronics Proximity","on order","Langley"
"159.315",,"bighorn",,"Langley","VHF","VIT","on order","Langley"
"159.315","","deer","CDB014","CD","VHF/GPS","Various","AW","CD"
"159.320",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.320",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.320","3/27/2013 ","bighorn","S218","Northern","VHF","ATS M2220B","AW","Mt. Gibbs"
"159.325","","deer","GDL070","GD","VHF/GPS","Various","AW","GD"
"159.326","","deer","RVD876","RV","VHF/GPS","Various","AW","RV"
"159.329",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.330","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.330","3/19/2016 ","bighorn","S423","Central","VHF","ATS M2220B","AW","Convict Creek"
"159.331",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"159.335","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.336","","deer","CDB046","CD","VHF/GPS","Various","AW","CD"
"159.336","2/19/2015 ","bighorn","S347","Central","GPS","Vectronics Survey","AW","Wheeler Ridge"
"159.339","10/18/2014","bighorn","S299","Southern","GPS","Vectronics Survey","AW","Mt. Baxter"
"159.340","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.340","3/26/2015 ","bighorn","S373","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.345",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.345","","deer","GDL011","GD","VHF/GPS","Various","AW","GD"
"159.349",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.350","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.350","3/19/2016 ","bighorn","S423","Central","GPS","Vectronics Vertex","AW","Convict Creek"
"159.351","11/1/2016 ","bighorn","S452","Kern","VHF","ATS M2230S","AW","Laurel Creek"
"159.355",,"bighorn",,"Cathedral","GPS","Vectronics Survey","on order","Cathedral"
"159.355",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.355","10/31/2016","bighorn","S445","Southern","GPS","Vectronics SurveyL","AW","Mt. Langley"
"159.360",,"bighorn",,"Cathedral","GPS","Vectronics Survey","on order","Cathedral"
"159.360",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.362","10/21/2014","bighorn","S326","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"159.365",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.366","","deer","RVD829","RV","VHF/GPS","Various","AW","RV"
"159.367",,"deer",,"GD","GPS",,"on order","GD"
"159.369","11/1/2016 ","bighorn","S451","Kern","VHF","ATS M2230S","AW","Laurel Creek"
"159.370",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.370","3/24/2016 ","bighorn","S428","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.371","","deer","RVD826","RV","VHF/GPS","Various","AW","RV"
"159.372","10/19/2014","bighorn","S307","Southern","","Televilt Tellus Iridium1D","AWX","Mt. Baxter"
"159.375",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.375","","deer","RVD844","RV","VHF/GPS","Various","AW","RV"
"159.375","10/31/2016","bighorn","S443","Southern","GPS","Vectronics SurveyL","AW","Mt. Langley"
"159.380",,"Elk",,"Big Pine","VHF",,"AW","Crater Mtn"
"159.380","","deer","RVD920","RV","VHF/GPS","Various","AW","RV"
"159.380","3/22/2014 ","bighorn","S193","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.384","","deer","CDB017","CD","VHF/GPS","Various","AW","CD"
"159.385",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"159.385","3/19/2016 ","bighorn","S424","Central","GPS","Vectronics Vertex","AW","Convict Creek"
"159.388",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.389","","deer","CDB067","CD","VHF/GPS","Various","AW","CD"
"159.390",,"deer",,"GD","GPS",,"on order","GD"
"159.395","","deer","RVD841","RV","VHF","ATS","NR","RV"
"159.396","","deer","GDL034","GD","VHF/GPS","Various","AW","GD"
"159.400","","deer","RVD834","RV","VHF/GPS","Various","AW","RV"
"159.405",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.405","10/26/2016","bighorn","S437","Southern","GPS","Vectronics SurveyL","AW","Mt. Baxter"
"159.405","3/24/2016 ","bighorn","S177","Southern","GPS","Vectronics Vertex","AW","Mt. Langley"
"159.406","","deer","CDB063","CD","VHF/GPS","Various","AW","CD"
"159.410",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.410","10/19/2014","bighorn","S315","Southern","","Televilt Tellus Iridium1D","AWX","Bubbs Creek"
"159.410","3/19/2016 ","bighorn","S240","Central","GPS","Vectronics Vertex","AW","Wheeler Ridge"
"159.411",,"bighorn",,"Cathedral","GPS","Vectronics Survey","on order","Cathedral"
"159.415",,"bighorn",,"Langley","GPS","Vectronics Vertex","on order","Langley"
"159.415","3/19/2016 ","bighorn","S419","Central","GPS","Vectronics Vertex","AW","Wheeler Ridge"
"159.418",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.420",,"deer",,"RV","GPS",,"on order","RV"
"159.420","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.420","10/19/2014","bighorn","S308","Southern","","Vectronics Survey","AWX","Sawmill Canyon"
"159.420","3/19/2014 ","bighorn","S283","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.425","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.425","10/31/2016","bighorn","S450","Southern","GPS","Vectronics SurveyL","AW","Sawmill Canyon"
"159.426","","deer","RVD846","RV","VHF/GPS","Various","AW","RV"
"159.428","","bighorn","","office","VHF","ATS","OW","office"
"159.435",,"bighorn",,"Gibbs-Flex","VHF","VIT","on order","Gibbs-Flex"
"159.435","3/19/2014 ","bighorn","S284","Kern","GPS","Lotek Lifecycle","AW","Big Arroyo"
"159.440",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
