"frequency","capture_date","species","animal_id","region","type","model","status","location"
"160.806",,"deer",,"RV","GPS",,"on order","RV"
"160.806","10/31/2016","bighorn","S448","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"160.811","","deer","RVD905","RV","VHF/GPS","Various","AW","RV"
"160.811","11/1/2016 ","bighorn","S451","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"160.815",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.815","4/3/2015 0","bighorn","S253","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"160.816",,"deer",,"GD","GPS",,"on order","GD"
"160.817","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.821","","deer","CDB096","CD","VHF/GPS","Various","AW","CD"
"160.825","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.826",,"Dog",,"South",,,"AW","J_Davis"
"160.829","10/19/2014","bighorn","S305","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.831","","deer","RVD874","RV","VHF/GPS","Various","AW","RV"
"160.833","10/24/2015","bighorn","S406","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.835",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.835","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.836",,"Dog",,"South",,,"AW","J_Davis"
"160.836","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.836","","deer","RVD894","RV","VHF/GPS","Various","AW","RV"
"160.841",,"Elk",,"Independence","GPS","ATS Globalstar","AW","Independence"
"160.842","","deer","RVD873","RV","VHF/GPS","Various","AW","RV"
"160.842","11/2/2016 ","bighorn","S296","Northern","VHF","ATS M2230S","AW","Cathedral"
"160.845","3/24/2016 ","bighorn","S429","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.847",,"deer",,"GD","GPS",,"on order","GD"
"160.848",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.852","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.852","","deer","CDB098","CD","VHF/GPS","Various","AW","CD"
"160.854","2/19/2015 ","bighorn","S354","Southern","VHF","ATS M2230B","AW","Taboose Creek"
"160.858",,"Dog",,"South",,,"AW","J_Davis"
"160.859","10/23/2015","bighorn","S336","Central","VHF","ATS M2230B","AW","Convict Creek"
"160.860",,"Elk",,"office","GPS","Tellus Followit","OW","office"
"160.864","10/24/2015","bighorn","S408","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.865","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.865","","deer","CDB071","CD","VHF/GPS","Various","AW","CD"
"160.866",,"Dog",,"South",,,"AW","J_Davis"
"160.866","10/29/2012","bighorn","S255","Southern","VHF","ATS M1960","AW","Sawmill Canyon"
"160.866","3/21/2005 ","bighorn","S60","Northern","VHF","ATS M1960","AW","Mt. Warren"
"160.870","11/1/2016 ","bighorn","S351","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"160.873","","bighorn","","office","VHF","ATS","OW","office"
"160.874",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.874","10/19/2014","bighorn","S314","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.875",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"160.878","11/1/2016 ","bighorn","S352","Kern","VHF","ATS M2230S","AW","Laurel Creek"
"160.880","","deer","RVD908","RV","VHF/GPS","Various","AW","RV"
"160.882",,"Elk",,"Big Pine","GPS","Tellus Followit","AW","Tinemaha"
"160.882","3/25/2013 ","bighorn","S278","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.885",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.885","","bighorn","","office","VHF","ATS","OW","office"
"160.889","","deer","RVD877","RV","VHF/GPS","Various","AW","RV"
"160.890","","bighorn","","office","VHF","ATS","OW","office"
"160.893","3/26/2016","Elk",,"Lone Pine","VHF",,"AW","Lone Pine Estuary"
"160.894","","deer","CDB032","CD","VHF/GPS","Various","AW","CD"
"160.896",,"Dog",,"South",,,"AW","J_Davis"
"160.899","","bighorn","","office","VHF","ATS","OW","office"
"160.899","","deer","RVD881","RV","VHF/GPS","Various","AW","RV"
"160.900",,"Elk",,"office","VHF",,"OW","office - N"
"160.900","10/30/2012","bighorn","S263","Southern","GPS","Lotek 8000","AW","Mt. Baxter"
"160.902","3/19/2014 ","bighorn","S288","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"160.904","","bighorn","","office","VHF","ATS","OW","office"
"160.904","3/25/2016","Elk",,"Lone Pine","VHF",,"AW","Lone Pine"
"160.905","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.906",,"Dog",,"South",,,"AW","J_Davis"
"160.909","","deer","CDB050","CD","VHF/GPS","Various","AW","CD"
"160.910","10/26/2016","bighorn","S438","Southern","GPS","Vectronics Survey","AW","Mt. Baxter"
"160.914","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.914","4/3/2015 0","bighorn","S344","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.915",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.915","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.919","","deer","RVD872","RV","VHF/GPS","Various","AW","RV"
"160.920",,"Elk",,"Independence","GPS","ATS Globalstar","AW","E. Independence"
"160.920",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"160.920","3/25/2013 ","bighorn","S280","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.923","","bighorn","","office","VHF","ATS","OW","office"
"160.924",,"Dog",,"South",,,"AW","J_Davis"
"160.924","3/26/2015 ","bighorn","S371","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.925",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.925","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.926","3/26/2016","Elk",,"Lone Pine","VHF",,"AW","Lone Pine Estuary"
"160.927","3/25/2013 ","bighorn","S274","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.930",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.931","","bighorn","","office","VHF","Vectronics","OW","office"
"160.936",,"bighorn",,"Gibbs-Flex","GPS","Vectronics Vertex","on order","Gibbs-Flex"
"160.941",,"Elk",,"Independence","GPS","ATS Globalstar","AW","Independence"
"160.943","","bighorn","","office","VHF","ATS","OW","office"
"160.946",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.950","","bighorn","","office","VHF","ATS","OW","office"
"160.954","3/19/2016 ","bighorn","S421","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"160.955",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.955","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.959","","deer","RVD855","RV","VHF/GPS","Various","AW","RV"
"160.964",,"Elk",,"office","VHF",,"OW","office - N"
"160.965","3/25/2013 ","bighorn","S271","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"160.966",,"Dog",,"South",,,"AW","J_Davis"
"160.966","3/25/2016","Elk",,"Independence","GPS",,"AW","Black Canyon"
"160.969","","bighorn","","office","VHF","ATS","OW","office"
"160.971","3/25/2016","Elk",,"Independence","GPS","ATS Globalstar","AW","Black Canyon"
"160.973","","deer","CDB039","CD","VHF/GPS","Various","AW","CD"
"160.975","","bighorn","","office","VHF","ATS","OW","office"
"160.980",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"160.980","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.983","","bighorn","","office","VHF","ATS","OW","office"
"160.985","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.985","","bighorn","","office","VHF","Vectronics","OW","office"
"160.990",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.990","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.990","","bighorn","","office","VHF","Vectronics","OW","office"
"160.995",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.995","10/27/2014","bighorn","S345","Central","","Televilt Tellus Iridium","AWX","Convict Creek"
"160.995","10/31/2016","bighorn","S449","Southern","VHF","ATS M2230S","AW","Sawmill Canyon"
"160.996","","deer","GDL033","GD","VHF","ATS","NR","GD"
"164.014",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.044",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.083",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.104",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.124",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.145",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.163",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.184",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.195",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.209",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.224",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.256",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.272",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.283",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.304",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.305",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.324",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.334",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.342",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.365",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.373",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.409",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.424",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.444",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.457",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.475",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.507",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.521",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.563",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.582",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.596",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.67",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.781",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.844",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"164.921",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
